
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2026-04-07 09:47:06
,"Almacen(es) :,'PRINCIPAL-CORPAC','Otros Alm.Lima'<FONT color='Red'><a href='#MSG_SURQ_LISTA' style='text-decoration:none' class='especial'>(*)</a></FONT>"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.440"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"accesorios","zzzcam720vr","720 vr camera sports", ,1000.00, ,"","D","zz otras marcas"
"accesorios","zzzmesamelamina","mesa melamina 160*80*73",>20,9999999.99, ,"","Z","zz otras marcas"
"accesorios","zzzsamr20lg","mobile charging suitcase", ,320.00, ,"","Z","zz otras marcas"
"accesorios","zzzzcase","sample of cases mark: super ca", ,1000.00, ,"","Z","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS ENSAMBLAJE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios ensamblaje","accmmgzndsgn04g","pasta termica (thermal paste) cryofuze 7, color gris, 4gr[@@@]presentamos cryofuze 7,",>20,7.50, ,"","D","cooler master"
"accesorios ensamblaje","achpgm110aa","kit de cables pci esata hp (gm110aa), para convertir 2 puertos sata internos en exter", ,15.70, ,"","W","hp comercial"
"accesorios ensamblaje","zzcajamodelo1","caja 63.00 x 49.00 duplex dunk", ,100.00, ,"","Z","insumos ensamblaje"
"accesorios ensamblaje","zzzzetiqueta11","etiqueta sello de seguridad con logo advance,4.5 x 11.50cm, poliester de seguridad ", ,1000.00, ,"","Z","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","accadptusb3usb2","usb 3.0 headr/usb 2.0 mb adptr", ,1000.00, ,"","C","zz otras marcas"
"accesorios usb","acctlu024006","cable extensión tripp-lite u024-006, usb 2.0 de alta velocidad (a m/h), 1.83 mts.[@@@",>20,1.70, ,"","W","tripp-lite"
"accesorios usb","acctlu320006bk","cable usb 3.0 tripp-lite u320-006-bk, negro, superspeed, a/a, 1.83 mts, 28/24 awg.[@@",>20,3.45, ,"","W","tripp-lite"
"accesorios usb","acctlu324003bk","cable de extensión usb 3.0 superspeed - usb-a a usb-a, m/h, negro, 91 cm [3 pies][@@@",>20,2.00, ,"","W","tripp-lite"
"accesorios usb","acctlu324006bk","cable de extensión usb 3.0 superspeed (m/h) negro, 1.83 m (6 pies)[@@@]extiende un ca",2,2.35, ,"","W","tripp-lite"
"accesorios usb","acczzmhlhdcable","mhl musb hdmi hdtv cable", ,1000.00, ,"","X","zz otras marcas"
"accesorios usb","acte70207w","cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",>20,10.00, ,"","D","teros"
"accesorios usb","acte70208w","cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",>20,2.15, ,"","D","teros"
"accesorios usb","acte70209w","cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",>20,1.50, ,"","D","teros"
"accesorios usb","acte70212w","cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",>20,6.20, ,"","D","teros"
"accesorios usb","zzte70207wm","adaptador de corriente gan 65w",2,999.00, ,"","Y","western digital"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AIRE ACOND PRECISION, ACC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"aire acond precision, acc","accsrcoolnet2lx","módulo de interfaz de red / snmp de plataforma lx- administración remota de enfriamie",3,198.00, ,"","W","tripp-lite"
"aire acond precision, acc","acctlsrcool7kdu","juego de ducto de descarga smartrack kit.[@@@]",3,150.00, ,"","W","tripp-lite"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ASTERISK, ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"asterisk, accesorios","swdgchr-193-01","dialogic hmp lifecycle handling fee[@@@]",1,254.00, ,"","Z","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, ACCESORIOS DE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, accesorios de","aajblquantum610","auriculares integrales para gaming y micrófono jbl quantum 610 inalambricos (2.4 ghz)",7,125.00, ,"","W","jbl"
"audio, accesorios de","accgxd1p47518","auriculares (in-ear) con 3 mics design enc, lenovo tws yoga pc edition, interfaz blue",18,52.00, ,"","Y","lenovo - idea"
"audio, accesorios de","accore9901","elgato shock mount (soporte de suspensión antivibración)[@@@]audio sin ruidos: reduce",>20,29.00, ,"","D","corsair"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic","acclen4xd1j7735","auriculares internos lenovo con cable usb-c[@@@]los auriculares internos con cable us",>20,9.20, ,"","Y","lenovo - thinkpad"
"audio, auricular c/mic","acclen4xd1r3139","auriculares lenovo tws (edición x9)[@@@]los auriculares lenovo tws (edición x9) se ha",>20,53.00, ,"","Y","lenovo - thinkpad"
"audio, auricular c/mic","accte8074gr","audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",>20,9.50, ,"","D","teros"
"audio, auricular c/mic","accte8074n","audífonos teros te-8074n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",>20,9.50, ,"","D","teros"
"audio, auricular c/mic","mmhwte8038n","audífono inalámbricos teros te-8038n, usb-c, negro titanium[@@@]descubre los audífono",>20,18.00, ,"","D","teros"
"audio, auricular c/mic","mmhwte8038ne","audífono inalámbricos teros te-8038ne, usb-c, natural titanium[@@@]descubre los audíf",>20,18.00, ,"","D","teros"
"audio, auricular c/mic","mmhwte8038rs","audífono inalámbricos teros te-8038rs, usb-c, rose titanium[@@@]descubre los audífono",>20,18.00, ,"","D","teros"
"audio, auricular c/mic","mmhwte8038w","audífono inalámbricos teros te-8038w, usb-c, blanco titanium[@@@]descubre los audífon",>20,18.00, ,"","D","teros"
"audio, auricular c/mic","mmhwte8039c","audífono teros te-8039cs, usb, negro[@@@]descubrelos audífonos teros te-8039cs, ideal",>20,14.00, ,"","D","teros"
"audio, auricular c/mic","mmlen4xd1p83425","auriculares stereo con micrófono lenovo gen 2, interfaz usb-a[@@@]los auriculares est",>20,23.10, ,"","W","lenovo - thinkpad"
"audio, auricular c/mic","mmlengxd1e71385","auriculares estereo con microfono lenovo 110, interfaz usb tipo-a, color cloud grey (",>20,29.50, ,"","D","lenovo - idea"
"audio, auricular c/mic","mmmclogstheh112","auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",>20,21.00, ,"","D","logitech"
"audio, auricular c/mic","mmtwshte80712ne","audífonos inalámbricos teros te80712ne, bluetooth, carga tipo c, natural titanium[@@@",>20,10.00, ,"","D","teros"
"audio, auricular c/mic","mmtwshte80712rs","audífonos inalámbricos teros te-80712rs, bluetooth, carga tipo c, rose titanium[@@@]d",>20,10.00, ,"","D","teros"
"audio, auricular c/mic","mmtwshte80712w","audífonos inalámbricos teros te-80712w, bluetooth, carga tipo c, blanco titanium[@@@]",>20,10.00, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, MICROFONO USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, microfono usb","mpcmtg009usbblk","cmteck usb computer microphone",2,19.50, ,"","C","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, PARLANTE INALAMBRC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, parlante inalambrc","mmsplbbv310gr","parlante inalámbrico landbyte bv310, bluetooth, iluminación led, recargable.[@@@]cone",1,13.50, ,"","D","landbyte"
"audio, parlante inalambrc","mmspte6013n","parlante karaoke inalámbrico teros te-6013n, bt 5.4, 10w, usb, iluminación led[@@@]an",>20,11.40, ,"","D","teros"
"audio, parlante inalambrc","mmspte6018r","parlante inalámbrico merry christmas teros te-6018r, bluetooth 5.3, tipo usb-c, color",>20,6.00, ,"","D","teros"
